
Iterations = 1010:11000
Thinning interval = 10 
Number of chains = 3 
Sample size per chain = 1000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

                          Mean        SD  Naive SE Time-series SE
loglambda[1,1,1,1,1]   7.68323 2.1961276 4.010e-02      9.372e-02
loglambda[1,2,1,1,1]   4.14010 0.4968352 9.071e-03      9.071e-03
loglambda[1,3,1,1,1]   4.45388 0.4775533 8.719e-03      9.240e-03
loglambda[1,4,1,1,1]   4.15359 0.5017912 9.161e-03      9.163e-03
loglambda[1,5,1,1,1]   4.61717 0.1323426 2.416e-03      2.415e-03
loglambda[1,6,1,1,1]   8.33347 1.9672146 3.592e-02      8.107e-02
loglambda[1,7,1,1,1]   8.74324 1.9628994 3.584e-02      7.758e-02
loglambda[1,8,1,1,1]   8.88326 1.9599446 3.578e-02      8.403e-02
loglambda[1,1,2,1,1]   7.90396 2.1664821 3.955e-02      9.443e-02
loglambda[1,2,2,1,1]  -1.75802 0.0005648 1.031e-05      1.493e-05
loglambda[1,3,2,1,1]   4.56409 0.7805354 1.425e-02      1.585e-02
loglambda[1,4,2,1,1]   5.96241 3.2359515 5.908e-02      5.884e-02
loglambda[1,5,2,1,1]   8.94680 1.9067066 3.481e-02      7.802e-02
loglambda[1,6,2,1,1]  15.35464 5.4884596 1.002e-01      2.454e+00
loglambda[1,7,2,1,1]   8.62526 1.9105277 3.488e-02      7.517e-02
loglambda[1,8,2,1,1]   8.87211 1.8667674 3.408e-02      7.306e-02
loglambda[1,1,3,1,1]   5.05171 0.7375273 1.347e-02      1.496e-02
loglambda[1,2,3,1,1]   2.68813 0.5164751 9.430e-03      9.839e-03
loglambda[1,3,3,1,1]   7.52761 2.3229743 4.241e-02      1.024e-01
loglambda[1,4,3,1,1]   1.89569 0.2670853 4.876e-03      6.995e-03
loglambda[1,5,3,1,1]   8.91885 1.8475253 3.373e-02      6.920e-02
loglambda[1,6,3,1,1]   8.29022 1.9789232 3.613e-02      7.963e-02
loglambda[1,7,3,1,1]   3.94303 0.1182350 2.159e-03      2.207e-03
loglambda[1,8,3,1,1]   8.96670 1.9786147 3.612e-02      8.110e-02
loglambda[1,1,4,1,1]   5.02661 0.7236153 1.321e-02      1.459e-02
loglambda[1,2,4,1,1]   5.98151 3.2812742 5.991e-02      6.851e-02
loglambda[1,3,4,1,1]   7.60800 2.2956474 4.191e-02      1.073e-01
loglambda[1,4,4,1,1]  -0.78042 0.0006030 1.101e-05      1.327e-04
loglambda[1,5,4,1,1]   9.09398 1.9378897 3.538e-02      7.500e-02
loglambda[1,6,4,1,1]   8.44971 2.0863254 3.809e-02      9.290e-02
loglambda[1,7,4,1,1]   8.56210 1.9233607 3.512e-02      7.737e-02
loglambda[1,8,4,1,1]   4.83915 0.1827554 3.337e-03      6.857e-03
loglambda[1,1,5,1,1]   2.91881 0.1217358 2.223e-03      2.120e-03
loglambda[1,2,5,1,1]   7.71068 2.3607138 4.310e-02      1.110e-01
loglambda[1,3,5,1,1]   7.66301 2.1245368 3.879e-02      9.149e-02
loglambda[1,4,5,1,1]   7.61046 2.2874426 4.176e-02      1.010e-01
loglambda[1,5,5,1,1]   0.21984 0.0024283 4.433e-05      8.754e-04
loglambda[1,6,5,1,1]   2.87682 0.0651278 1.189e-03      1.189e-03
loglambda[1,7,5,1,1]   2.63568 0.0386022 7.048e-04      7.210e-04
loglambda[1,8,5,1,1]   2.46991 0.0307129 5.607e-04      7.108e-03
loglambda[1,1,6,1,1]   7.90255 2.0752102 3.789e-02      8.257e-02
loglambda[1,2,6,1,1]   1.66602 0.2240866 4.091e-03      4.209e-03
loglambda[1,3,6,1,1]   7.57115 2.3061302 4.210e-02      1.031e-01
loglambda[1,4,6,1,1]   7.14183 2.5444088 4.645e-02      1.157e-01
loglambda[1,5,6,1,1]   3.96183 0.0782372 1.428e-03      1.402e-03
loglambda[1,6,6,1,1]  -0.43739 0.0058003 1.059e-04      2.556e-03
loglambda[1,7,6,1,1]   3.05517 0.0555321 1.014e-03      1.014e-03
loglambda[1,8,6,1,1]   3.02096 0.0458560 8.372e-04      8.104e-03
loglambda[1,1,7,1,1]   8.15239 2.2038118 4.024e-02      1.002e-01
loglambda[1,2,7,1,1]   7.71514 2.1476892 3.921e-02      9.104e-02
loglambda[1,3,7,1,1]   2.49797 0.1018368 1.859e-03      1.860e-03
loglambda[1,4,7,1,1]   7.74978 2.2847749 4.171e-02      1.065e-01
loglambda[1,5,7,1,1]   3.46252 0.0521582 9.523e-04      9.521e-04
loglambda[1,6,7,1,1]   3.13624 0.0809465 1.478e-03      1.478e-03
loglambda[1,7,7,1,1]  -0.05995 0.0015358 2.804e-05      5.497e-04
loglambda[1,8,7,1,1]   2.41381 0.0329699 6.019e-04      8.673e-03
loglambda[1,1,8,1,1]   8.19292 2.0877054 3.812e-02      9.268e-02
loglambda[1,2,8,1,1]   8.22193 2.1514531 3.928e-02      8.777e-02
loglambda[1,3,8,1,1]   8.11372 1.9806388 3.616e-02      7.711e-02
loglambda[1,4,8,1,1]   4.51471 0.3879918 7.084e-03      7.386e-03
loglambda[1,5,8,1,1]   2.55577 0.0234434 4.280e-04      4.602e-04
loglambda[1,6,8,1,1]   2.40273 0.0375083 6.848e-04      6.659e-04
loglambda[1,7,8,1,1]   2.32971 0.0277495 5.066e-04      5.147e-04
loglambda[1,8,8,1,1]   6.07499 2.6080741 4.762e-02      3.114e-01
loglambda[1,1,1,2,1]   6.11589 3.2132830 5.867e-02      1.939e-01
loglambda[1,2,1,2,1]   6.26536 3.1511543 5.753e-02      1.868e-01
loglambda[1,3,1,2,1]   5.98639 3.2635049 5.958e-02      1.937e-01
loglambda[1,4,1,2,1]   5.81699 3.2732441 5.976e-02      1.967e-01
loglambda[1,5,1,2,1]   7.76979 2.2941308 4.188e-02      1.052e-01
loglambda[1,6,1,2,1]   7.70625 2.1704157 3.963e-02      9.381e-02
loglambda[1,7,1,2,1]   7.64681 2.2065711 4.029e-02      1.006e-01
loglambda[1,8,1,2,1]   7.85433 2.1965545 4.010e-02      9.939e-02
loglambda[1,1,2,2,1]   5.97066 3.2092330 5.859e-02      5.861e-02
loglambda[1,2,2,2,1]   6.01215 3.1947061 5.833e-02      6.107e-02
loglambda[1,3,2,2,1]   6.12368 3.1708304 5.789e-02      5.538e-02
loglambda[1,4,2,2,1]   6.08524 3.3114214 6.046e-02      6.047e-02
